Manuf;Model;Desc;Engine_Capacity;Fuel_Type;Powertrain;Euro_Standard;Diesel_VED_Supplement;Fuel_Cost;Electric_Cost;Total_Cost;Noise_Level
BENTLEY MOTORS;Flying Spur MY22;Flying Spur V8;3996;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,413;£0;£3,413;69.0
BENTLEY MOTORS;Flying Spur MY22;Flying Spur W12;5950;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£4,031;£0;£4,031;68.0
BENTLEY MOTORS;Flying Spur MY22.5;Flying Spur Hybrid;2894;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£887;£1,100;£1,986;69.0
CADILLAC;XT4;350T AWD AT9;1998;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,499;£0;£2,499;68.0
CHEVROLET;CORVETTE;Stingray Convertible 6.2L V8 AT8;6162;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,252;£0;£3,252;71.6
CHEVROLET;CORVETTE;Stingray Coupe 6.2L V8 AT8;6162;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,252;£0;£3,252;71.6
CHRYSLER JEEP;Compass;Limited 1.3 T4 130hp E6D final MT FWD;1332;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,801;£0;£1,801;70.0
CHRYSLER JEEP;Compass;Limited 1.3 T4 130hp E6D final MT FWD;1332;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,935;£0;£1,935;70.0
CHRYSLER JEEP;Compass;Limited 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,532;£0;£1,532;68.0
CHRYSLER JEEP;Compass;Limited 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,639;£0;£1,639;68.0
CHRYSLER JEEP;Compass;Night Eagle 1.3 T4 130hp E6D final MT;1332;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,801;£0;£1,801;70.0
CHRYSLER JEEP;Compass;Night Eagle 1.3 T4 130hp E6D final MT;1332;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,935;£0;£1,935;70.0
CHRYSLER JEEP;Compass;Night Eagle 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,532;£0;£1,532;68.0
CHRYSLER JEEP;Compass;Night Eagle 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,639;£0;£1,639;68.0
CHRYSLER JEEP;Compass;S 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,532;£0;£1,532;68.0
CHRYSLER JEEP;Compass;S 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,639;£0;£1,639;68.0
CHRYSLER JEEP;Compass;S-Model 1.3 T4 PHEV 240hp E6D final AT eAWD;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£484;£721;£1,205;67.0
CHRYSLER JEEP;Compass;S-Model 1.3 T4 PHEV 240hp E6D final AT eAWD;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£538;£757;£1,295;67.0
